id,produto,quantidade,preço,data
1,correia para guitarra,9,20.00,26/10/2024
2,encordoamento para guitarra,12,40.00,26/10/2024
3,violão acústico,4,299.00,26/10/2024
4,capa para violão,5,99.00,26/10/2024
5,banqueta para violão,6,69.00,26/10/2024
6,limpador de cordas,8,29.00,26/10/2024
7,flauta transversal,2,1999.00,26/10/2024
8,suporte para flauta,4,79.00,26/10/2024
9,estojo para flauta,10,9999.00,26/10/2024
10,saxofone,4,4359.00,26/10/2024
11,suporte para saxofone,5,32.69,26/10/2024
12,teclado musical casio,2,784.98,26/10/2024
13,sintetizador de voz,3,324.12,26/10/2024
14,controlador com cabo usb,4,124.00,26/10/2024
15,caixa de som jbl,2,39.99,26/10/2024
16,microfone sem fio shure,3,2000.00,26/10/2024
17,pedestal para microfone,6,150.00,26/10/2024
18,cabo para microfone,10,12.50,26/10/2024
19,caixa acústica,8,789.00,26/10/2024
20,mixer de áudio behringer,2,888.00,26/10/2024
21,saxofone,4,4359.00,26/10/2024
22,monitor yamaha hs5,2,990.00,26/10/2024
23,camiseta,2,29.90,27/10/2024
24,calça,5,75.00,27/10/2024
25,sapato,3,95.00,27/10/2024
26,meia,20,6.00,27/10/2024
27,cinto,8,18.00,27/10/2024
28,camisa,7,45.00,27/10/2024
29,bermuda,6,55.00,27/10/2024
30,tênis,4,130.00,27/10/2024
31,bone,12,12.00,27/10/2024
32,casaco,2,160.00,27/10/2024
33,mochila,9,65.00,27/10/2024
34,livro,15,22.00,27/10/2024
35,saxofone,4,4359.00,27/10/2024
36,lápis,30,1.50,27/10/2024
37,borracha,25,0.60,27/10/2024
38,cola,10,3.00,27/10/2024
39,régua,12,4.50,27/10/2024
40,pincel atômico,8,6.00,27/10/2024
41,papel sulfite A4 500 folhas,6,28.00,27/10/2024
42,pasta sanfonada,4,38.00,27/10/2024
43,fone de ouvido,5,85.00,27/10/2024
44,mouse sem fio,7,55.00,27/10/2024
45,filtro de linha,6,32.00,27/10/2024
46,cabo HDMI,10,16.00,27/10/2024
47,pilha AA,20,2.50,27/10/2024
48,luminária de mesa,4,42.00,27/10/2024
49,relogio de parede,8,22.00,27/10/2024
50,porta-retrato digital,2,110.00,27/10/2024
51,vaporizador de roupas,1,160.00,27/10/2024
52,balança digital,3,62.00,27/10/2024
53,furadeira elétrica,2,210.00,27/10/2024
54,jogo de panelas antiaderente,5,125.00,27/10/2024
55,faca elétrica,4,85.00,27/10/2024
56,sanduicheira elétrica,6,45.00,27/10/2024
57,mixer de alimentos,7,55.00,27/10/2024
58,batedeira planetária,2,310.00,27/10/2024
59,guitarra elétrica fender,3,2900.00,27/10/2024
60,amplificador de guitarra,4,780.00,27/10/2024
61,pedaleira preta,5,480.00,27/10/2024
62,cabo para instrumento ninja,10,60.00,27/10/2024
63,palheta dunlop,20,1.20,27/10/2024
64,afinador digital,6,50.00,27/10/2024
65,capotraste,8,95.00,27/10/2024
66,suporte para guitarra,7,30.00,27/10/2024
67,correia para guitarra,9,20.00,27/10/2024
68,encordoamento para guitarra,12,40.00,27/10/2024
69,violão acústico,4,299.00,27/10/2024
70,capa para violão,5,99.00,27/10/2024
71,banqueta para violão,6,69.00,27/10/2024
72,limpador de cordas,8,29.00,27/10/2024
73,flauta transversal,2,1999.00,27/10/2024
74,suporte para flauta,4,79.00,27/10/2024
75,estojo para flauta,10,9999.00,27/10/2024
76,saxofone,4,4359.00,27/10/2024
77,suporte para saxofone,5,32.69,27/10/2024
78,teclado musical casio,2,784.98,27/10/2024
79,sintetizador de voz,3,324.12,27/10/2024
80,controlador com cabo usb,4,124.00,27/10/2024
81,caixa de som jbl,2,39.99,27/10/2024
82,microfone sem fio shure,3,2000.00,27/10/2024
83,pedestal para microfone,6,150.00,27/10/2024
84,cabo para microfone,10,12.50,27/10/2024
85,caixa acústica,8,789.00,27/10/2024
86,mixer de áudio behringer,2,888.00,27/10/2024
87,fone de ouvido profissional akg,3,300.00,27/10/2024
88,monitor yamaha hs5,2,990.00,27/10/2024
